sympkey,diskey,question,check
1,1,Is the person experiencing chest indrawing?,https://www.youtube.com/watch?v=LXL0xOMSWpA
2,1,Does the person exhibit signs of fast breathing?,https://www.wikihow.com/Check-Someone%27s-Breathing-Rate-%28Rate-of-Respiration%29
3,1,Does the person have a cough?,
4,1,Is the person having trouble breathing?,
5,1,Does the person have Stridor?,https://www.youtube.com/watch?v=iR6cvd0nuok
6,9,Is the person unconscious?,
7,9,Are the person's eyes appearing sunken?,https://www.youtube.com/watch?v=3jEzOgUoQrM
8,9,Is the person unable to drink?,
9,9,Does the person's skin pinch go back slowly?,https://www.youtube.com/watch?v=Lp_18c1asho
10,9,Is the person restless? ,
11,9,Does the person seem easily agitated or annoyed?,
12,9,Is the person experiencing thrist?,
13,2,Does the person shows signs of dehydration?,https://www.youtube.com/watch?v=0dO4RPYGzHg
14,9,Is there blood in the person's stool?,
15,3,Does the person have stiffness in their neck?,https://www.youtube.com/watch?v=MtjPGOeTWzc
16,3,Is the person's fontanelle bulging?,https://www.youtube.com/watch?v=tuvvlUgNSsk
17,3,Does the person have a fever?,
18,4,Is there clouding of the person's cornea?,https://www.youtube.com/watch?v=Lw_DZGsHVPE
19,4,Are there deep or extensive ulcers present on the person?,https://www.youtube.com/watch?v=ktAgFEVmcNo
20,4,Does the person exhibit eye discharge containing pus?,https://www.youtube.com/watch?v=3U5ZVfYMoyE
21,4,Are there ulcers in the person's mouth?,https://www.youtube.com/watch?v=flXe9N112Vo
22,5,Is there swelling of the tendon behind the the person's ear?,https://www.youtube.com/watch?v=rwjls1BzaT8
23,6,Does the person have ear pain?,
24,7,Is there visible severe wasting in the person?,https://www.youtube.com/watch?v=wcx9CuAjleU
25,7,Is there edema in both of the person's feet?,https://www.youtube.com/watch?v=adkrWQ8sWFU
26,7,Is the person underweight?,https://www.youtube.com/watch?v=inaVt48YVaw
27,8,Does the person exhibit pallor in the palms?,https://www.youtube.com/watch?v=DaGKcRHr9PE
